"","iso3c","date","iso2c","country","date_ct","granularity","GB.XPD.RSDV.GD.ZS","IP.JRN.ARTC.SC","NY.GDP.PCAP.PP.CD","SP.POP.TOTL"
"167","BEN","2011","BJ","Benin",2011-01-01,"annual",NA,132.8,1820.89469315629,9460802
"168","BEN","2012","BJ","Benin",2012-01-01,"annual",NA,146.1,1890.02901987697,9729160
"169","BEN","2013","BJ","Benin",2013-01-01,"annual",NA,181.3,2002.05140862019,10004451
"170","BEN","2014","BJ","Benin",2014-01-01,"annual",NA,181.6,2103.89678619987,10286712
"171","BFA","2005","BF","Burkina Faso",2005-01-01,"annual",0.17066,69.6,1127.55874317235,13421930
"172","BFA","2006","BF","Burkina Faso",2006-01-01,"annual",NA,101,1198.50951694666,13829177
"173","BFA","2007","BF","Burkina Faso",2007-01-01,"annual",0.1108,112.9,1261.416063903,14252021
"174","BFA","2008","BF","Burkina Faso",2008-01-01,"annual",0.18674,120.4,1338.8602973718,14689726
"175","BFA","2009","BF","Burkina Faso",2009-01-01,"annual",0.20015,136.8,1347.57924167077,15141099
"176","BFA","2010","BF","Burkina Faso",2010-01-01,"annual",NA,130.9,1394.58472667042,15605217
"177","BFA","2011","BF","Burkina Faso",2011-01-01,"annual",NA,153.3,1472.71648241138,16081904
"178","BFA","2012","BF","Burkina Faso",2012-01-01,"annual",NA,209.3,1549.4802661889,16571216
"179","BFA","2013","BF","Burkina Faso",2013-01-01,"annual",NA,183.5,1616.77927059162,17072723
"180","BFA","2014","BF","Burkina Faso",2014-01-01,"annual",NA,201.9,1663.59415649263,17585977
"181","BGD","2005","BD","Bangladesh",2005-01-01,"annual",NA,610.8,1718.40287298916,143431101
"182","BGD","2006","BD","Bangladesh",2006-01-01,"annual",NA,719.4,1864.19450265239,145368004
"183","BGD","2007","BD","Bangladesh",2007-01-01,"annual",NA,1005.8,2024.23209501687,147139191
"184","BGD","2008","BD","Bangladesh",2008-01-01,"annual",NA,1119.3,2163.55442727762,148805814
"185","BGD","2009","BD","Bangladesh",2009-01-01,"annual",NA,1248.3,2264.87149858925,150454708
"186","BGD","2010","BD","Bangladesh",2010-01-01,"annual",NA,1497.8,2393.31583163503,152149102
"187","BGD","2011","BD","Bangladesh",2011-01-01,"annual",NA,1521.5,2570.85014525476,153911916
"188","BGD","2012","BD","Bangladesh",2012-01-01,"annual",NA,2052.9,2756.44346659312,155727053
"189","BGD","2013","BD","Bangladesh",2013-01-01,"annual",NA,2019.4,2934.64435240001,157571292
"190","BGD","2014","BD","Bangladesh",2014-01-01,"annual",NA,2361.5,3125.72157461756,159405279
"191","BGR","2005","BG","Bulgaria",2005-01-01,"annual",0.4434,2020.2,10275.0722257219,7658972
"192","BGR","2006","BG","Bulgaria",2006-01-01,"annual",0.44313,1928.2,11372.8035229964,7601022
"193","BGR","2007","BG","Bulgaria",2007-01-01,"annual",0.42683,2483.3,12900.7858917462,7545338
"194","BGR","2008","BG","Bulgaria",2008-01-01,"annual",0.4458,2356.5,14328.9295392236,7492561
"195","BGR","2009","BG","Bulgaria",2009-01-01,"annual",0.49566,2552,14143.6130187685,7444443
"196","BGR","2010","BG","Bulgaria",2010-01-01,"annual",0.56387,2599.1,14948.5895706348,7395599
"197","BGR","2011","BG","Bulgaria",2011-01-01,"annual",0.53191,2554,15676.1441294193,7348328
"198","BGR","2012","BG","Bulgaria",2012-01-01,"annual",0.60479,2733,16208.2152662831,7305888
"199","BGR","2013","BG","Bulgaria",2013-01-01,"annual",0.63491,2753.4,16631.6587230844,7265115
"200","BGR","2014","BG","Bulgaria",2014-01-01,"annual",0.79492,2744.4,17508.890528442,7223938
"201","BHR","2005","BH","Bahrain",2005-01-01,"annual",NA,159,38466.5622058612,889168
"202","BHR","2006","BH","Bahrain",2006-01-01,"annual",NA,185.2,39163.1204531047,958414
"203","BHR","2007","BH","Bahrain",2007-01-01,"annual",NA,172.2,40282.9665240104,1035891
"204","BHR","2008","BH","Bahrain",2008-01-01,"annual",NA,165.6,40557.0243120659,1114590
"205","BHR","2009","BH","Bahrain",2009-01-01,"annual",NA,186.6,39412.1674086511,1185029
"206","BHR","2010","BH","Bahrain",2010-01-01,"annual",NA,205,39749.8493845143,1240862
"207","BHR","2011","BH","Bahrain",2011-01-01,"annual",NA,185.2,40164.5827403304,1278269
"208","BHR","2012","BH","Bahrain",2012-01-01,"annual",NA,160.3,41714.8436088807,1300217
"209","BHR","2013","BH","Bahrain",2013-01-01,"annual",NA,236.1,44168.3779484071,1315411
"210","BHR","2014","BH","Bahrain",2014-01-01,"annual",0.10116,223.6,46088.6029061868,1336397
"211","BHS","2005","BS","Bahamas, The",2005-01-01,"annual",NA,7.4,22602.9564956975,329249
"212","BHS","2006","BS","Bahamas, The",2006-01-01,"annual",NA,5.9,23415.7117243909,335830
"213","BHS","2007","BS","Bahamas, The",2007-01-01,"annual",NA,11.1,23923.7087148222,342328
"214","BHS","2008","BS","Bahamas, The",2008-01-01,"annual",NA,6,23392.2861587165,348676
"215","BHS","2009","BS","Bahamas, The",2009-01-01,"annual",NA,9.7,22191.1746033125,354856
"216","BHS","2010","BS","Bahamas, The",2010-01-01,"annual",NA,8.8,22431.9299506066,360832
"217","BHS","2011","BS","Bahamas, The",2011-01-01,"annual",NA,10.9,22674.7278158328,366568
"218","BHS","2012","BS","Bahamas, The",2012-01-01,"annual",NA,7.9,23453.6354886308,372039
"219","BHS","2013","BS","Bahamas, The",2013-01-01,"annual",NA,16.9,23370.5372556653,377240
"220","BHS","2014","BS","Bahamas, The",2014-01-01,"annual",NA,12.3,23145.3198496632,382169
"221","BIH","2005","BA","Bosnia and Herzegovina",2005-01-01,"annual",0.02696,250.6,6453.18663225115,3781530
"222","BIH","2006","BA","Bosnia and Herzegovina",2006-01-01,"annual",0.01969,223.2,7380.87540733821,3779468
"223","BIH","2007","BA","Bosnia and Herzegovina",2007-01-01,"annual",0.02522,243.1,8161.68623470688,3774000
"224","BIH","2008","BA","Bosnia and Herzegovina",2008-01-01,"annual",0.01843,372.6,9006.44700898036,3763599
"225","BIH","2009","BA","Bosnia and Herzegovina",2009-01-01,"annual",0.02107,406.9,9003.26972919448,3746561
"226","BIH","2010","BA","Bosnia and Herzegovina",2010-01-01,"annual",NA,494.5,9314.88603110754,3722084
"227","BIH","2011","BA","Bosnia and Herzegovina",2011-01-01,"annual",NA,542.6,9901.61020154702,3688865
"228","BIH","2012","BA","Bosnia and Herzegovina",2012-01-01,"annual",0.26563,572.9,10181.913229555,3648200
"229","BIH","2013","BA","Bosnia and Herzegovina",2013-01-01,"annual",0.32175,494.5,10825.840024833,3604999
